name,online_order,rate,votes,location,cuisines,approx_cost(for two people),Cluster
Knowhere,No,3.8,52,Banaswadi,"Continental, Finger Food",1300.0,1
Nostradamus Bar & Lounge,No,3.6,14,Cunningham Road,"North Indian, South Indian, Chinese, Continental",1500.0,1
Sherlock's Pub,No,4.0,580,Frazer Town,"Continental, North Indian, Chinese",1500.0,1
Dolphin Bar,No,3.8,61,Frazer Town,"Chinese, Finger Food, North Indian, Seafood",1000.0,2
Tiger Trail - Ramada Hotel,Yes,4.0,188,Shivajinagar,"North Indian, Lucknowi",1300.0,1
MM Bar & Restaurant,No,3.4,6,Shivajinagar,"South Indian, North Indian",700.0,0
Hammered,Yes,4.7,4678,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",1300.0,4
1Q1,No,4.3,597,Infantry Road,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500.0,1
Watson's,No,4.2,1428,Ulsoor,"Finger Food, North Indian",1300.0,1
Carnival de Goa,Yes,4.2,982,Ulsoor,"Goan, Mangalorean, Pizza",1000.0,1
The Grill House,Yes,4.1,765,Ulsoor,"American, Mexican, Italian, Steak",1200.0,1
Ging - Royal Orchid Central,Yes,4.3,226,MG Road,Asian,2000.0,1
WYT RestroPub,No,2.7,402,MG Road,"North Indian, Chinese",1000.0,0
Knowhere,No,3.8,52,Banaswadi,"Continental, Finger Food",1300.0,1
Nostradamus Bar & Lounge,No,3.6,14,Cunningham Road,"North Indian, South Indian, Chinese, Continental",1500.0,1
The Fisherman's Wharf,Yes,4.4,4108,Sarjapur Road,"Seafood, Goan, North Indian, Continental, Asian",1400.0,4
Shift,Yes,4.2,1873,HSR,"Finger Food, Continental, North Indian",1500.0,4
Broadway - The Gourmet Theatre,Yes,4.2,1148,HSR,"Japanese, North Indian, Italian, Korean, Mexican, Thai",1800.0,1
Onesta,Yes,4.4,3764,HSR,"Pizza, Cafe, Italian",600.0,4
Bonum cibum,Yes,4.5,188,HSR,"Lebanese, Turkish",1200.0,1
Kitchen On Table,Yes,4.3,790,HSR,"BBQ, Chinese, Japanese, Asian",1000.0,1
Purnabramha Maharashtrian Restaurant,Yes,3.7,829,HSR,Maharashtrian,850.0,2
Empire Restaurant,Yes,3.9,3831,HSR,"North Indian, Mughlai, South Indian, Chinese",750.0,4
Howrah Bridge,Yes,3.3,292,HSR,"Bengali, Seafood",600.0,0
Atithi,Yes,3.9,224,HSR,"North Indian, Chinese, Street Food",800.0,2
Shri Madhuram,No,3.9,371,HSR,"South Indian, North Indian",400.0,2
Foxtrot - House of Subculture,No,4.4,366,Koramangala 3rd Block,"Cafe, American, Asian, North Indian",1000.0,1
Barbeque Nation,No,4.7,3614,Koramangala 1st Block,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4
Opus Food Stories,No,4.6,174,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",1500.0,1
Little Italy,Yes,4.3,715,Sarjapur Road,"Italian, Pizza",1500.0,1
Melange - Hotel Ekaa,Yes,3.2,426,Electronic City,"North Indian, Chinese, Continental, Mangalorean",900.0,0
Spice It - Ibis Hotel,No,3.0,74,Bommanahalli,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",1200.0,0
The Hub - Ibis Hotel,No,3.7,51,Bommanahalli,"Finger Food, Fast Food",1500.0,1
Equinox Bar - DoubleTree Suites By Hilton,No,3.9,52,Sarjapur Road,"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food",1900.0,1
Zee5 Loft,Yes,4.4,788,HSR,"Cafe, Burger, Pizza, Sandwich",700.0,2
Tea Villa Cafe,Yes,4.2,859,HSR,"Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",800.0,2
Onesta,Yes,4.4,3764,HSR,"Pizza, Cafe, Italian",600.0,4
Here & Now,No,4.6,1580,HSR,"Cafe, American, Burger, Beverages",750.0,4
Amour Fine Patisserie,Yes,4.0,82,HSR,"Cafe, Desserts, Continental",500.0,2
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,4.3,1101,HSR,"Cafe, Continental, Pizza, Salad",700.0,2
Blk Plus Wht,No,4.3,112,HSR,"Asian, Thai, North Indian",800.0,2
Grapevine,Yes,4.1,733,HSR,"Cafe, Continental, Italian, Beverages, Mediterranean",1200.0,1
Third Wave Coffee Roasters,Yes,4.2,140,HSR,"Cafe, Continental",800.0,2
La Estranger Cafe,Yes,3.8,47,HSR,"Cafe, Burger, Sandwich, Beverages",500.0,2
Caffe Pascucci,Yes,4.1,720,HSR,"Cafe, Continental, Pizza, Italian, Beverages",950.0,2
Smally's Resto Cafe,Yes,4.0,128,HSR,"Cafe, Italian, Burger, American, Steak",650.0,2
Soup'ermanz Kitchen,Yes,4.1,439,HSR,"Cafe, Continental, Burger",750.0,2
Tea Addict,Yes,4.0,77,HSR,"Cafe, Beverages",300.0,2
Grilliez,Yes,4.1,564,HSR,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",600.0,2
Sunny Cafe & Kitchen,Yes,3.8,499,HSR,"Cafe, Continental, Beverages, Desserts",700.0,2
The Grub Central,Yes,4.0,803,HSR,"Cafe, Italian, Continental",700.0,2
The Chocolate Room,Yes,3.9,205,HSR,"Cafe, Bakery, Fast Food, Desserts",600.0,2
House Stark Cafe,Yes,3.9,44,HSR,"Cafe, Desserts, Fast Food, Burger",300.0,2
Cafe Mondo,Yes,3.6,484,HSR,"Cafe, Italian, Pizza, Chinese",700.0,2
JFD Cafe,Yes,2.8,37,HSR,Cafe,400.0,0
Chef Baker's,Yes,3.8,204,HSR,"Continental, Cafe, Desserts, Italian, Bakery",600.0,2
Keep It Straight Cafe,Yes,3.9,202,HSR,"Cafe, North Indian, Fast Food",500.0,2
Canopy Flavours,No,2.6,49,HSR,"Cafe, Fast Food",450.0,0
Burger Garden,Yes,3.4,7,South Bangalore,"Fast Food, Burger, Desserts, Cafe",300.0,0
The Open Cafe,Yes,3.7,15,HSR,"Cafe, Chinese, Continental",500.0,2
Cafe Coffee Day,No,3.8,36,HSR,Cafe,650.0,2
That Garage Cafe,Yes,3.1,101,HSR,"Cafe, Italian, Continental, European, Biryani, Chinese",650.0,0
Brimstone Cafe,Yes,4.0,390,HSR,"Cafe, Continental, Salad, Italian",1300.0,1
The Wicked Cup,No,3.9,56,HSR,"Cafe, Sandwich, Fast Food, Beverages, Desserts",350.0,2
Gold Bean,No,2.5,113,HSR,Cafe,550.0,0
Foodiesthan,Yes,3.7,59,HSR,"Cafe, Fast Food, North Indian",600.0,2
5th Main Cafe,No,3.5,15,HSR,"Cafe, Fast Food",250.0,0
Kairos,No,3.8,63,HSR,"Cafe, Italian, European",1000.0,2
Chaai Resto,Yes,3.9,92,HSR,"Tea, Beverages, Fast Food",250.0,2
Big Mama,No,3.3,6,HSR,"Cafe, Continental, Italian",600.0,0
UBCR Cafe & Resto,No,3.6,17,HSR,"Cafe, Burger, Continental, Chinese",500.0,2
Talk Over Table Cafe,No,3.7,85,HSR,"Cafe, Italian, Beverages",500.0,2
Bistro Claytopia,Yes,4.1,1847,Koramangala 1st Block,"Cafe, American, Italian, Burger",600.0,4
Mimansa @ Foxtrot,Yes,4.4,190,Koramangala 3rd Block,Cafe,1000.0,1
Imperio Cafe,No,3.9,22,Whitefield,"Cafe, Fast Food, Pizza, Burger, Beverages",200.0,2
Mid-Night Crunch,Yes,3.7,455,HSR,"North Indian, Chinese",400.0,2
Midnight Mania,Yes,4.1,723,Koramangala 6th Block,"Pizza, Italian, Beverages",700.0,2
Truly Punjab,Yes,4.1,373,Koramangala 1st Block,"North Indian, Biryani",500.0,2
Night Restro,Yes,3.1,223,BTM,"North Indian, Chinese",500.0,0
M.M Restaurant,Yes,3.9,184,HSR,"Chinese, North Indian, Biryani",600.0,2
B.M.W - Bhookh Mitaane Wala,Yes,3.7,503,Koramangala 1st Block,"North Indian, South Indian, Chinese",500.0,2
Hunger Night King,Yes,3.6,112,Koramangala 2nd Block,"North Indian, Chinese",400.0,2
Biryani Miya,Yes,3.7,46,Sarjapur Road,"Biryani, North Indian",600.0,2
Rollin,Yes,4.1,209,Koramangala 4th Block,"Continental, Pizza, Chinese",400.0,2
Kokomo,Yes,4.0,195,Koramangala 6th Block,"Thai, Chinese",500.0,2
Night Fox,Yes,3.2,22,Bommanahalli,"South Indian, North Indian, Chinese",500.0,0
Hungry Queen,Yes,3.6,39,HSR,"North Indian, Chinese, Fast Food",300.0,2
Crunch Pizzas - Express Delivery,Yes,3.0,238,Indiranagar,Pizza,500.0,0
The Charcoal Factory,Yes,4.1,292,Koramangala 6th Block,"Burger, Pizza, Momos",600.0,2
Nite Out,Yes,4.0,353,Sarjapur Road,"North Indian, Chinese, Biryani",500.0,2
Eatsomnia,Yes,3.5,435,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",500.0,0
La Estranger Cafe,Yes,3.8,47,HSR,"Cafe, Burger, Sandwich, Beverages",500.0,2
The Kitchen Story,Yes,3.2,19,HSR,"North Indian, Chinese",300.0,0
S S Popular Frozen Stone,Yes,3.7,24,Bellandur,"Beverages, Ice Cream, Sandwich, Fast Food",250.0,2
Sunny's Kitchen,Yes,3.7,62,HSR,"Continental, American",500.0,2
Taza Khaana,Yes,3.0,175,HSR,"Chinese, North Indian",450.0,0
8 Slice,Yes,3.7,74,Koramangala 6th Block,Pizza,600.0,2
Crunch Pizzas,Yes,2.6,54,HSR,"Italian, Pizza",600.0,0
Abhiruchi Hotel,Yes,3.2,12,Bommanahalli,"North Indian, Biryani, Seafood",700.0,0
DinePost9,Yes,3.9,227,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",450.0,2
The Kitchen Bandit,Yes,3.2,42,Koramangala 2nd Block,"Chinese, North Indian, Fast Food",350.0,0
The Hidden Cafe,Yes,3.9,95,Koramangala 1st Block,"North Indian, Fast Food",350.0,2
Happy Days,Yes,3.1,54,Bommanahalli,"Biryani, North Indian, South Indian",500.0,0
eat.fit,Yes,4.5,1181,BTM,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,2
Call A Cake,Yes,3.6,41,BTM,Bakery,500.0,2
Dhaba Express,Yes,3.7,173,HSR,"Biryani, Fast Food, North Indian, Chinese",400.0,2
Fish Chain,Yes,4.0,57,HSR,"Seafood, BBQ, Biryani",250.0,2
Easy Bites,Yes,3.8,45,HSR,"Fast Food, Sandwich",300.0,2
Royal Calcutta Restaurant,Yes,3.3,57,HSR,"Bengali, North Indian, Chinese",400.0,0
Chai Point,Yes,4.0,317,HSR,"Tea, Beverages, Fast Food",250.0,2
Lassi Shop,Yes,3.9,153,Bellandur,"Beverages, Ice Cream",200.0,2
Hyderabadi Biryani Hub,Yes,3.5,46,Sarjapur Road,"Biryani, North Indian",600.0,0
Empire Restaurant,Yes,4.0,88,HSR,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400.0,2
Eat Well,Yes,3.5,32,Indiranagar,"North Indian, Chinese",400.0,0
MRA,Yes,3.7,25,HSR,Bakery,200.0,2
Golden Restaurant,Yes,3.4,410,HSR,"North Indian, Mughlai",750.0,0
Shanmukha,Yes,4.0,987,HSR,"Biryani, Andhra, North Indian, Chinese",800.0,2
The Night Watch Express,Yes,3.0,53,Koramangala 1st Block,"North Indian, Chinese",500.0,0
Reddy's Restaurant,Yes,3.7,34,Sarjapur Road,"Andhra, Biryani, South Indian, Chinese",500.0,2
The Paratha Stories,Yes,3.3,36,Koramangala 1st Block,North Indian,400.0,0
Juice Shop,Yes,3.7,15,HSR,"Juices, Beverages, Ice Cream",150.0,2
Behrouz Biryani,Yes,4.0,99,HSR,Biryani,650.0,2
Punjabites,Yes,3.8,7,HSR,"North Indian, Charcoal Chicken",400.0,2
Doof,Yes,4.0,371,Electronic City,"Fast Food, Beverages",450.0,2
XO Belgian Waffle,Yes,4.5,143,HSR,"Desserts, Beverages",400.0,2
Aasife & Brothers Biriyani Centre,Yes,3.9,125,HSR,"Biryani, North Indian, South Indian, Chinese",600.0,2
Biryani Junction,Yes,2.3,298,Bommanahalli,"Biryani, North Indian, Chinese",450.0,0
Pensiri Cafe,Yes,3.5,48,HSR,North Indian,300.0,0
Fritz Haber,Yes,4.1,397,HSR,"Ice Cream, Desserts",450.0,2
Masala Secret Eat WOW,Yes,3.6,14,HSR,"Street Food, Fast Food, Chinese, Momos",300.0,2
The Pancake Story,Yes,4.6,118,Koramangala 1st Block,"Desserts, Beverages",300.0,2
Cold Smith Ice Creams,Yes,3.9,41,Sarjapur Road,"Ice Cream, Desserts",450.0,2
Firangi Bake,Yes,3.9,21,Koramangala 1st Block,"Mexican, Italian",600.0,2
Faasos,Yes,4.0,67,Koramangala 1st Block,"North Indian, Biryani, Fast Food",500.0,2
McDonald's,Yes,3.8,510,HSR,"Burger, Fast Food",500.0,2
Stoned Monkey,Yes,3.9,230,HSR,"Desserts, Ice Cream",500.0,2
Bubble Bee,Yes,3.9,46,HSR,"Beverages, Bubble Tea, Desserts",400.0,2
Barbeque Delight,Yes,3.8,189,Sarjapur Road,"Arabian, Kerala, North Indian, Chinese, BBQ",800.0,2
Hungry Bird,Yes,3.6,15,Bellandur,"North Indian, Chinese, Biryani",400.0,2
Sweet Truth,Yes,4.0,19,Koramangala 1st Block,"Bakery, Desserts",500.0,2
Abhiruchi Restaurant,Yes,3.4,6,Sarjapur Road,"Andhra, North Indian, Chinese",400.0,0
The Good Bowl,Yes,3.6,8,Koramangala 1st Block,"Italian, North Indian, Biryani",500.0,2
Delhi Food Point,Yes,3.3,910,Koramangala 1st Block,"North Indian, Beverages",250.0,0
NH-1,Yes,3.8,376,Bellandur,North Indian,600.0,2
Karama Restaurant,Yes,3.4,11,HSR,Arabian,400.0,0
Navya's,Yes,2.9,46,HSR,"North Indian, Andhra, Chinese",600.0,0
Zangos Grill,Yes,4.0,188,Koramangala 1st Block,"BBQ, Fast Food",300.0,2
BOX8- Desi Meals,Yes,4.2,460,HSR,"North Indian, Mughlai, Fast Food",500.0,2
Onesta,Yes,4.4,3764,HSR,"Pizza, Cafe, Italian",600.0,4
The Burger Place,Yes,3.8,26,Koramangala 1st Block,"Burger, Continental, Fast Food",400.0,2
Dabba Gosht,Yes,3.4,15,HSR,"Arabian, Middle Eastern",400.0,0
Soup'ermanz Kitchen,Yes,4.1,439,HSR,"Cafe, Continental, Burger",750.0,2
Domino's Pizza,Yes,2.7,332,Sarjapur Road,"Pizza, Fast Food",400.0,0
What'sinaPita,Yes,3.9,231,Koramangala 1st Block,"Mediterranean, Middle Eastern, Wraps, Rolls",400.0,2
Al-Bek,Yes,3.6,133,HSR,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300.0,2
Reddy's Paradise,Yes,3.5,11,Sarjapur Road,"Fast Food, Chinese, North Indian, Biryani",400.0,0
Mamatha Restaurant,Yes,2.7,74,Bommanahalli,"Biryani, Hyderabadi, North Indian",700.0,0
Oliver Wraps,Yes,3.1,8,HSR,"Rolls, Fast Food",300.0,0
Cafe Coffee Day The Lounge,Yes,3.8,77,HSR,"Cafe, Fast Food",650.0,2
Moolehatti Donne Biryani Mane,Yes,3.6,218,HSR,"Biryani, Chinese, North Indian, Kebab",400.0,2
Mealsbaba,Yes,3.7,57,HSR,North Indian,400.0,2
Vijayawada Style,Yes,3.2,22,Bommanahalli,"North Indian, South Indian, Chinese",300.0,0
Polar Bear,Yes,4.2,214,Bellandur,"Ice Cream, Desserts, Beverages, Sandwich",400.0,2
Wakeup Cafe,Yes,3.4,9,HSR,"Fast Food, Beverages",300.0,0
Daba Delights,Yes,3.3,9,Koramangala 4th Block,"North Indian, Mughlai",400.0,0
Mark,Yes,3.7,36,HSR,"Andhra, Fast Food",500.0,2
The Village Hotel,Yes,3.5,14,HSR,Kerala,450.0,0
Magnolia,Yes,4.1,671,Koramangala 3rd Block,"Chinese, Thai, Asian",900.0,2
Biriyani Bungalow,Yes,3.1,4,HSR,"Biryani, North Indian",600.0,0
Veg Rasoi,Yes,4.0,99,HSR,"North Indian, Rajasthani",600.0,2
Chefie,Yes,3.8,37,Koramangala 1st Block,"Continental, Fast Food, Italian, North Indian",200.0,2
Karavali Kitchen,Yes,3.1,85,Sarjapur Road,"Mangalorean, North Indian, Chinese",400.0,0
Kitchens@HSR,Yes,3.1,247,HSR,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",200.0,0
4K Biryani,Yes,3.3,4,HSR,"North Indian, Chinese",700.0,0
Aligarh House,Yes,4.4,568,HSR,"North Indian, Biryani, Awadhi, Mughlai",400.0,2
Namms Cafe,Yes,3.1,7,Koramangala 2nd Block,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300.0,0
Annapurna Foods,Yes,3.5,12,Bellandur,"North Indian, Chinese, Hyderabadi",400.0,0
Donne Biryani House,Yes,3.7,70,HSR,"South Indian, Biryani",350.0,2
Hyderabadi Biriyani,Yes,3.4,33,Bellandur,"Biryani, Hyderabadi, Chinese, North Indian",800.0,0
Tempteys,Yes,3.7,39,HSR,Beverages,500.0,2
Sardarji Londonwaley,Yes,3.9,307,Koramangala 1st Block,North Indian,450.0,2
Mojo Pizza - 2X Toppings,Yes,4.2,217,HSR,Pizza,600.0,2
Silbatti,No,4.0,1551,HSR,North Indian,750.0,4
Nellore Abhiruchi,Yes,3.3,7,HSR,"Biryani, South Indian",300.0,0
Rolla Rappa,Yes,3.6,176,HSR,"Biryani, Fast Food, Rolls, Momos",400.0,2
Kapoor's Cafe,No,4.0,917,HSR,North Indian,800.0,2
The Punjabi Rasoi,No,4.0,1829,HSR,North Indian,800.0,4
HSR High Street,No,3.8,320,HSR,"Hyderabadi, North Indian, South Indian, Biryani",800.0,2
Fish & Fries Restaurant,No,4.0,649,HSR,"Continental, Seafood, Bengali, Fast Food",750.0,2
Shaadi Ki Biryani,Yes,2.9,18,HSR,"Biryani, Charcoal Chicken",600.0,0
Ziyan's Cafe 27th,No,4.0,60,HSR,Kerala,300.0,2
California Burrito,No,4.1,110,HSR,"Mexican, Fast Food",400.0,2
Indori Zaika,Yes,2.8,105,HSR,North Indian,300.0,0
Eatwell Restaurant,Yes,3.0,8,Sarjapur Road,"Biryani, Chinese, North Indian",400.0,0
Asha Tiffins,Yes,4.3,278,HSR,South Indian,150.0,2
Punjabi Nawabi,Yes,4.0,988,HSR,North Indian,500.0,2
Burger King,Yes,4.1,352,HSR,"Burger, Fast Food, Beverages",600.0,2
Foodies Hub,Yes,3.1,8,Sarjapur Road,"North Indian, South Indian, Seafood",500.0,0
Mustard Food Court,No,3.9,338,HSR,"North Indian, Chinese",500.0,2
Apsara Ice Cream,No,4.5,194,HSR,"Ice Cream, Desserts",200.0,2
MAD Belgian Waffles,Yes,3.5,4,Sarjapur Road,"Desserts, Beverages",300.0,0
Ovenstory Pizza,Yes,4.0,200,HSR,Pizza,750.0,2
de Ranthal,No,3.8,33,HSR,Kerala,300.0,2
NY Pizza And Waffles,Yes,3.3,11,Sarjapur Road,"Pizza, Fast Food",300.0,0
Grilliez,Yes,4.1,564,HSR,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",600.0,2
Dindigul Time Pass Restaurant,Yes,3.2,115,HSR,"South Indian, North Indian, Chinese, Biryani",700.0,0
La Pino'z Pizza,Yes,4.1,498,Koramangala 4th Block,"Italian, Pizza, Beverages",600.0,2
Shankar Maanes Kitchen,Yes,3.8,33,HSR,"South Indian, Biryani, North Indian",500.0,2
Priya Juice & Snacks,Yes,3.7,74,HSR,"Beverages, Juices",200.0,2
Krutunga,No,3.6,289,HSR,"Andhra, Biryani",500.0,2
Keventers,Yes,3.6,11,HSR,"Desserts, Beverages, Ice Cream",400.0,2
Hatti Punjab Di,No,3.3,24,HSR,"North Indian, Chinese",600.0,0
Five Star Chicken,Yes,3.3,55,Sarjapur Road,"Roast Chicken, Burger",300.0,0
Oh My Biryani,Yes,3.7,439,HSR,"Biryani, North Indian",550.0,2
Kaka-T-Cafe,No,4.0,60,HSR,"Arabian, Fast Food",400.0,2
Udupi Bhavan,Yes,3.8,170,HSR,"Chinese, North Indian, South Indian",400.0,2
Cupcake Noggins,No,4.1,104,HSR,"Desserts, Bakery",300.0,2
Mayur,Yes,3.7,20,Hosur Road,"Andhra, North Indian, Chinese, Seafood",700.0,2
Ober Cafe,Yes,3.5,10,Koramangala 1st Block,"Fast Food, Desserts",200.0,0
Kadal Da Meen,Yes,3.9,117,HSR,"Biryani, Seafood",900.0,2
The Thickshake Factory,No,3.6,8,HSR,"Beverages, Juices",350.0,2
Udupi Palace,No,3.7,446,HSR,"South Indian, North Indian, Chinese, Street Food",400.0,2
IceBreakers,Yes,3.6,8,HSR,"Desserts, Ice Cream",400.0,2
Healthy Yummy Food Restaurant,Yes,3.6,16,HSR,"Beverages, North Indian, Chinese, Italian",900.0,2
Vasudev Adiga's,No,3.7,532,HSR,"South Indian, North Indian, Chinese, Street Food",250.0,2
Hakka Chinese Restaurant,Yes,3.9,330,Koramangala 1st Block,"Chinese, Thai",600.0,2
Anjappar,No,2.9,304,HSR,"Chettinad, South Indian",650.0,0
Nutty Affair,Yes,3.7,29,HSR,Desserts,350.0,2
Curries'N' Fries,No,3.7,22,HSR,Andhra,400.0,2
Donne Biriyani Mane,No,3.2,23,HSR,"Biryani, Kebab",400.0,0
Rolls On Wheels,No,3.6,217,HSR,"Fast Food, Rolls, Momos",300.0,2
Nandhini Deluxe,No,3.6,95,HSR,"Andhra, North Indian",800.0,2
Uptown Sliders & Shakes,Yes,3.9,113,HSR,"Burger, Fast Food, Beverages",600.0,2
Cha-Cha Cha-Chi,No,3.3,4,HSR,"Fast Food, Beverages",100.0,0
Popular Bakery,No,3.7,36,HSR,"Desserts, Bakery",600.0,2
Snow'ora,Yes,4.3,342,Koramangala 4th Block,"Desserts, Ice Cream, Beverages",450.0,2
@Italy,No,3.5,40,HSR,"Italian, Pizza",700.0,0
Idli & Dosa Cafe,No,2.6,91,HSR,South Indian,200.0,0
Maa Bhook Lagi,Yes,3.9,296,Koramangala 4th Block,North Indian,400.0,2
Shawarma Hunt,No,3.4,9,HSR,Arabian,300.0,0
Vegan Heat,Yes,4.1,314,Koramangala 1st Block,"Healthy Food, Salad",650.0,2
Ur Cutlet Factory,No,3.1,5,HSR,Fast Food,200.0,0
House Stark Cafe,Yes,3.9,44,HSR,"Cafe, Desserts, Fast Food, Burger",300.0,2
Fujian Express,Yes,3.2,16,HSR,"Chinese, Thai, American, Momos",200.0,0
Paanwadi,No,3.3,6,HSR,"Desserts, Paan",100.0,0
Donne Biryani House,No,3.2,6,HSR,Biryani,250.0,0
Sree Abhiruchi,No,2.6,20,HSR,"Andhra, Biryani, North Indian",600.0,0
Food Theory,No,2.6,56,HSR,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500.0,0
The Wicked Cup,No,3.9,56,HSR,"Cafe, Sandwich, Fast Food, Beverages, Desserts",350.0,2
Momos Corner,No,3.3,6,HSR,Chinese,250.0,0
Hyderabad Biryaani House,No,3.7,21,HSR,"Biryani, Hyderabadi, Charcoal Chicken, North Indian",400.0,2
Al Daaz,Yes,4.2,581,HSR,"North Indian, Continental, BBQ",550.0,2
Tea Addict,Yes,4.0,77,HSR,"Cafe, Beverages",300.0,2
TGS Retails,No,3.3,4,HSR,"Bakery, Desserts",600.0,0
Kolkata Roll & Fast Food,No,3.6,15,HSR,Fast Food,250.0,2
56 Bhoga Sweets,No,3.6,51,HSR,"Mithai, Street Food",150.0,2
Shabari Kitchen,Yes,3.5,16,Koramangala 1st Block,"South Indian, Chinese",150.0,0
Murli,No,3.7,79,HSR,"North Indian, Chinese, Street Food, Fast Food, Mithai",500.0,2
Kolkata Rolls & Fast Food,Yes,3.5,142,HSR,"Rolls, Fast Food",200.0,0
Hunger Meals,No,3.9,152,HSR,"South Indian, North Indian, Biryani",400.0,2
Rara Avis,No,3.7,19,HSR,"Kerala, Seafood, Biryani, Desserts",400.0,2
Cutlet Shop,No,3.2,9,HSR,"Fast Food, Desserts",200.0,0
Spice of Andhra,No,3.7,41,HSR,Andhra,500.0,2
Shiv Shakthi,Yes,4.0,176,HSR,"Street Food, North Indian",100.0,2
The Baker's,No,2.4,32,HSR,"Bakery, Fast Food",500.0,0
Big Mama,No,3.3,6,HSR,"Cafe, Continental, Italian",600.0,0
Thalassery Mess,No,3.3,7,HSR,Kerala,300.0,0
Carnival Cakes & Breads,No,3.5,49,HSR,"Bakery, Fast Food",200.0,0
Ithaa's Biriyani,No,3.4,12,HSR,"Biryani, Chinese, North Indian",500.0,0
ChopServe,No,3.5,5,HSR,Chinese,300.0,0
Cheesecake Alley,No,3.1,8,HSR,"Bakery, Desserts",400.0,0
Sandwich Truffles,No,3.3,8,HSR,Fast Food,400.0,0
Bombay Kulfis,No,3.8,41,HSR,Ice Cream,200.0,2
Muziris,No,3.6,24,HSR,Kerala,250.0,2
Dum & Oven,No,3.7,29,HSR,"North Indian, Hyderabadi, Continental",600.0,2
7 Degrees North,No,3.5,11,HSR,North Indian,500.0,0
Le Rosa Restaurant,No,3.2,4,HSR,"North Indian, Mughlai, Biryani",700.0,0
The Thali Company,No,3.3,7,HSR,"North Indian, Lucknowi",600.0,0
Saahib,No,3.9,89,HSR,"Fast Food, Rolls",300.0,2
Andhra Vantillu,No,3.3,4,HSR,"South Indian, North Indian",350.0,0
Ammi's Biryani,No,2.8,114,HSR,"Biryani, North Indian",500.0,0
Indian Dhaba,No,3.3,7,HSR,"North Indian, Chinese",450.0,0
Rolex Food Palace Restaurant,No,3.4,9,HSR,"Chinese, North Indian, Arabian, Kerala",850.0,0
Ande Ka Funda,No,3.3,5,HSR,"North Indian, Chinese, Rolls",200.0,0
World Of Kebabs,No,3.4,5,HSR,"Mughlai, Awadhi, Kebab",600.0,0
Purani Dilli,No,3.2,4,HSR,"North Indian, Chinese",300.0,0
The Bigman's Cafe,No,3.7,31,HSR,"North Indian, Chinese",450.0,2
Om Nom Thai,No,3.9,30,South Bangalore,"Thai, Momos",400.0,2
The Breakfeast,No,3.4,10,HSR,"Continental, North Indian, South Indian",200.0,0
Kaati Roll Delights,No,3.3,4,HSR,"Fast Food, Rolls",150.0,0
SaJuSo,No,3.8,27,HSR,"Fast Food, Sandwich, Salad, Healthy Food",200.0,2
Warm Oven,Yes,4.0,153,HSR,"Bakery, Desserts",500.0,2
RICE BAR,No,3.1,6,HSR,"North Indian, Biryani",500.0,0
Amma's Cafe,No,3.2,6,HSR,Fast Food,300.0,0
The Little Chef,No,3.5,136,HSR,"North Indian, Chinese",600.0,0
Ambur Biryani,No,3.2,5,HSR,"South Indian, Fast Food",450.0,0
Foxtail Rodeo,No,3.5,13,South Bangalore,"Chinese, Street Food",300.0,0
Desi Breakk,No,3.3,7,HSR,North Indian,150.0,0
Enroute,No,3.1,23,HSR,"Continental, Fast Food",300.0,0
Grand Chillies,No,3.4,7,HSR,"North Indian, Chinese, Biryani",400.0,0
Dhaba Central,No,3.3,5,HSR,North Indian,650.0,0
Chattar Mattar,No,3.5,11,HSR,"North Indian, Chinese",150.0,0
Sultan's Biryani,No,3.2,10,HSR,"Biryani, North Indian",700.0,0
Dosa Time,Yes,3.8,109,Sarjapur Road,South Indian,200.0,2
Biryani Affair,Yes,3.5,147,HSR,Biryani,350.0,0
FreshMenu,Yes,3.9,582,Koramangala,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,2
Ambur Star Briyani,No,2.8,227,HSR,"Biryani, Kebab",500.0,0
Biryani Palace,Yes,3.9,459,HSR,"Biryani, Hyderabadi, Chinese",600.0,2
Howrah Bridge,Yes,3.3,292,HSR,"Bengali, Seafood",600.0,0
